                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5412,                 5.7205,                 2.0866,                0.71911,                0.76914,                0.79921,                0.50347,                 2.3916,                 2.9599,                 2.1399,             0.00066444,             0.00066444,             0.00066444
                      2,                 2.5421,                 3.0143,                 2.1225,                0.69755,                0.74568,                0.77954,                0.51765,                 2.2469,                 1.8431,                 2.1511,              0.0013179,              0.0013179,              0.0013179
                      3,                 2.5235,                 2.1191,                 2.1561,                 0.7954,                0.77863,                0.85468,                0.55203,                 2.3376,                 1.8603,                 2.1935,              0.0019582,              0.0019582,              0.0019582
                      4,                 2.4561,                 1.8171,                 2.1324,                0.81252,                 0.7502,                0.85843,                0.57333,                 2.2649,                 1.5128,                 2.1532,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4221,                 1.5918,                 2.1092,                0.84664,                0.85408,                0.92442,                0.63246,                  2.119,                 1.1952,                 2.0923,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.3586,                 1.4731,                 2.1099,                 0.8369,                0.85408,                0.91825,                0.65599,                 1.9841,                 1.2477,                 2.0247,               0.001901,               0.001901,               0.001901
                      7,                 2.2876,                  1.388,                 2.0782,                0.85706,                0.88984,                0.92717,                 0.6349,                 2.1522,                 1.1872,                 2.1057,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.303,                 1.3402,                 2.0685,                0.90822,                0.87771,                0.94731,                0.68785,                  1.953,                  1.065,                 2.0355,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2539,                  1.321,                 2.0625,                0.88472,                0.90987,                0.95554,                0.67064,                 2.0448,                 1.0849,                 2.0433,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.175,                  1.214,                 2.0348,                0.90861,                0.88555,                0.95957,                0.69782,                 1.9335,                 1.0407,                 1.9933,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.1589,                 1.1809,                 1.9951,                0.88963,                0.90558,                 0.9535,                0.69587,                 1.9373,                 1.0808,                 1.9866,               0.001802,               0.001802,               0.001802
                     12,                 2.1829,                 1.1797,                  2.021,                0.94217,                0.89986,                0.96435,                0.72197,                 1.8462,                0.93678,                 1.9734,              0.0017822,              0.0017822,              0.0017822
